;glcID;gbifID;observer;datasetName;date;dayOfYear;year;lon;lat;x_EPSG3035;y_EPSG3035;geoUncertaintyInM;speciesId;patchID;timeSerieID
74594;5688737;;;CBNMed;1587938400;118;2020;6.48976;43.1676;4034867.0;2235568.0;10.0;1275;116777;3989658
18728;5428384;;;CBNMed;1635372000;301;2021;5.00745;43.3757;3915649.0;2265420.0;10.0;8196;73073;3995315
20378;5211380;3473135737.0;(IGN);Inventaire forestier IGN;2017-06-13;164;2017;4.58967;47.97999;3917292.0;2777720.0;1.0;24;3015547;3982148
62246;5197002;2907258294.0;Glashier, H. Helen;Nat. plant monitoring UK;2020-08-09;222;2020;0.387096;51.86042;3660971.0;3238071.0;7.1;5763;3010000;4002366
56540;5274897;3474505524.0;(IGN);Inventaire forestier IGN;2017-07-18;199;2017;6.24455;44.26174;4020620.0;2357687.0;1.0;8987;3017647;3995915
28898;5328466;;;CBNMed;1588802400;128;2020;6.48026;43.1679;4034095.0;2235637.0;10.0;4885;116489;3993654
66282;5441480;;;CBNMed;1625004000;181;2021;6.505798;43.27089;4036673.0;2246941.0;5.0;3212;117232;3988488
72675;5385964;;;CBNMed;1556748000;122;2019;6.60059;43.2166;4044125.0;2240577.0;10.0;1253;119101;3989656
278;5301991;3474023191.0;(IGN);Inventaire forestier IGN;2017-07-27;208;2017;2.72003;45.08634;3747928.0;2469586.0;1.0;6574;3013532;3981376
12532;5383843;;;CBNMed;1555624800;109;2019;6.621721;43.16376;4045598.0;2234650.0;10.0;6080;119627;4001021
58608;5040215;2907342786.0;"Newlands, C. Colin;Perry, J. John;Hamnett, J. Jon;Beck, H. Howard;Andrews, K. Kay";Nat. plant monitoring UK;2019-07-12;193;2019;-2.347794;54.156586;3518696.1974388;3518703.143745;7.1;7246;3003975;3988247
31855;5208090;2907365886.0;Walker, K. Kevin;Nat. plant monitoring UK;2019-07-17;198;2019;-1.983655;54.16032;3542170.0;3515127.0;7.1;9212;3004770;3991909
73354;5582928;;;CBNMed;1634767200;294;2021;5.24281;43.4829;3935436.0;2276040.0;10.0;4836;80818;3995326
79968;5434104;;;CBNMed;1588111200;120;2020;6.50692;43.1582;4036219.0;2234462.0;10.0;837;117271;3998908
59926;5258615;3474277640.0;(IGN);Inventaire forestier IGN;2018-01-31;31;2018;9.17746;41.97112;4252574.0;2096774.0;1.0;95;3018816;3993716
82639;5269498;2907293945.0;Leslie, J. Judy;Nat. plant monitoring UK;2018-10-04;277;2018;-2.589494;57.22593;3564266.0;3858288.0;7.1;1849;3003580;4000309
18722;5641666;;;CBNMed;1585951200;95;2020;6.1098;43.1017;4003571.0;2229799.0;10.0;8196;106160;3990951
5621;5384426;;;CBNMed;1492639200;110;2017;6.098364;43.03219;4002264.0;2222155.0;10.0;4062;105724;3994437
