timeSerieID;2000_1;2000_2;2000_3;2000_4;2001_1;2001_2;2001_3;2001_4;2002_1;2002_2;2002_3;2002_4;2003_1;2003_2;2003_3;2003_4;2004_1;2004_2;2004_3;2004_4;2005_1;2005_2;2005_3;2005_4;2006_1;2006_2;2006_3;2006_4;2007_1;2007_2;2007_3;2007_4;2008_1;2008_2;2008_3;2008_4;2009_1;2009_2;2009_3;2009_4;2010_1;2010_2;2010_3;2010_4;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4
2959445;5;5;5;6;5;4;5;5;5;5;5;5;5;4;5;5;5;6;5;5;6;6;5;5;6;4;5;5;6;6;5;5;6;7;6;6;6;6;6;7;6;7;6;7;6;6;5;5;6;7;5;8;6;9;7;6;6;7;6;5;6;7;8;6;6;8;6;7;7;8;8;6;7;7;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos
3900275;75;4;1;1;71;42;1;1;55;5;1;1;70;84;2;26;77;101;3;2;64;78;2;6;62;5;3;9;64;12;1;2;64;5;2;4;69;38;4;4;74;6;3;2;72;61;2;4;84;9;3;4;69;4;2;4;64;35;3;6;82;80;2;2;72;7;3;28;74;74;2;27;78;5;5;3;74;42;2;18;74;42;4;eos
3856654;28;6;5;5;16;4;6;4;16;6;6;4;28;6;6;5;5;6;5;4;9;5;6;7;88;6;6;5;7;5;4;5;9;6;4;4;7;6;5;4;6;5;5;6;9;5;6;4;3;5;5;5;6;5;7;5;5;6;5;3;6;6;4;5;7;6;5;6;5;5;5;6;7;6;5;4;8;5;6;10;10;8;eos;eos
2523020;12;6;6;7;12;7;6;6;21;5;7;5;3;5;5;7;13;5;5;5;36;7;6;6;5;6;5;8;5;6;5;10;20;6;6;7;5;6;6;7;5;5;7;7;6;5;7;9;6;5;7;6;5;6;6;6;6;6;5;7;6;5;6;6;4;6;5;7;9;8;4;6;6;5;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos
3570234;7;7;8;7;7;7;10;6;7;7;7;8;6;6;7;6;6;6;7;6;6;3;7;7;6;6;8;6;6;6;4;7;6;6;7;6;7;7;5;7;7;7;8;7;7;8;7;7;7;7;6;8;8;7;4;6;7;7;6;7;7;5;6;7;6;6;6;10;6;5;6;6;6;7;7;eos;eos;eos;eos;eos;eos;eos;eos;eos
2469702;11;13;12;9;12;10;10;11;7;11;11;10;11;11;11;13;9;11;10;10;10;9;11;11;10;11;11;11;10;12;12;10;11;13;11;12;10;12;11;10;9;11;12;9;9;12;12;11;8;9;12;12;10;12;13;12;9;10;12;11;9;11;12;10;9;11;11;10;9;9;11;10;9;10;11;9;8;eos;eos;eos;eos;eos;eos;eos
2628475;122;7;4;1;122;4;4;1;122;40;5;22;122;6;5;14;122;5;5;2;111;5;5;2;111;1;6;3;107;3;3;4;111;5;2;4;111;27;5;8;111;84;5;6;140;27;4;4;140;84;5;2;184;103;6;5;185;3;4;3;188;47;6;2;183;10;3;2;159;4;4;3;197;209;5;2;178;57;6;5;196;4;6;5
2526388;10;13;12;11;10;13;11;9;6;14;14;14;10;15;14;11;13;19;15;12;13;16;14;8;8;15;13;12;9;14;12;10;13;14;13;7;12;14;12;11;12;14;13;10;12;14;13;11;10;14;11;11;9;14;14;11;11;14;14;10;8;13;12;11;8;15;13;10;7;13;13;9;9;13;12;8;10;13;11;8;8;12;10;eos
2673477;5;6;3;6;5;6;6;9;66;5;6;6;4;8;3;6;66;5;5;6;73;6;5;5;38;7;5;5;73;6;5;6;73;4;3;4;6;5;4;4;6;5;5;4;6;6;9;6;6;6;5;5;6;6;5;5;6;7;5;6;6;7;5;6;6;6;8;7;6;7;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos
186540;10;11;10;9;9;11;10;8;9;10;10;9;9;9;10;8;8;8;10;10;9;9;10;8;9;9;9;7;8;9;9;8;9;9;8;10;9;9;9;8;7;9;8;9;8;9;9;8;8;7;8;8;8;9;9;8;8;9;8;8;9;9;9;8;9;8;8;9;9;9;9;8;8;10;9;9;9;9;10;9;8;9;9;eos
553600;6;7;3;4;6;4;4;4;6;5;4;4;5;7;4;3;6;5;8;4;6;7;4;6;6;8;3;5;6;5;4;4;6;5;4;4;6;5;6;6;6;6;3;6;5;5;7;4;4;6;5;5;4;5;5;4;4;6;4;4;4;6;4;4;7;6;4;6;5;8;7;6;5;7;3;4;5;5;4;eos;eos;eos;eos;eos
