"timeSerieID";"2000_1";"2000_2";"2000_3";"2000_4";"2001_1";"2001_2";"2001_3";"2001_4";"2002_1";"2002_2";"2002_3";"2002_4";"2003_1";"2003_2";"2003_3";"2003_4";"2004_1";"2004_2";"2004_3";"2004_4";"2005_1";"2005_2";"2005_3";"2005_4";"2006_1";"2006_2";"2006_3";"2006_4";"2007_1";"2007_2";"2007_3";"2007_4";"2008_1";"2008_2";"2008_3";"2008_4";"2009_1";"2009_2";"2009_3";"2009_4";"2010_1";"2010_2";"2010_3";"2010_4";"2011_1";"2011_2";"2011_3";"2011_4";"2012_1";"2012_2";"2012_3";"2012_4";"2013_1";"2013_2";"2013_3";"2013_4";"2014_1";"2014_2";"2014_3";"2014_4";"2015_1";"2015_2";"2015_3";"2015_4";"2016_1";"2016_2";"2016_3";"2016_4";"2017_1";"2017_2";"2017_3";"2017_4";"2018_1";"2018_2";"2018_3";"2018_4";"2019_1";"2019_2";"2019_3";"2019_4";"2020_1";"2020_2";"2020_3";"2020_4"
60987;12;9;9;15;12;12;11;15;15;13;14;15;12;16;14;14;11;11;12;12;13;11;12;12;11;11;11;14;12;12;11;13;11;11;12;13;12;11;13;13;11;14;14;13;12;13;15;15;14;14;16;16;12;13;13;14;12;13;13;15;11;13;14;13;13;11;12;14;"11";"12";"13";"13";"11";"15";"15";"15";"13";"13";"eos";"eos";"eos";"eos";"eos";"eos"
117891;39;10;13;11;39;11;15;11;22;12;13;11;5;10;17;11;5;11;14;11;4;7;12;11;5;10;16;10;6;9;14;10;7;8;14;10;7;11;16;10;7;10;14;10;7;9;14;10;9;10;14;10;11;11;14;11;11;9;14;12;11;9;14;11;10;10;13;14;"14";"8";"12";"11";"7";"12";"11";"9";"9";"10";"13";"eos";"eos";"eos";"eos";"eos"
186540;17;20;19;17;16;19;19;17;17;18;19;16;18;18;19;17;17;16;18;17;16;17;18;15;15;17;18;15;16;18;19;16;18;17;16;18;15;18;17;16;15;17;16;16;15;17;17;16;15;16;16;16;15;18;17;17;16;17;16;16;16;18;17;16;17;17;17;17;"16";"18";"17";"16";"15";"19";"17";"17";"17";"17";"19";"17";"16";"17";"17";"eos"
235479;20;20;19;18;20;22;24;22;21;17;25;22;22;20;20;23;19;21;24;23;22;19;26;23;22;24;21;22;20;21;24;24;22;19;21;27;20;21;21;20;20;22;22;23;21;21;23;24;22;21;22;20;20;21;22;22;24;20;21;17;21;21;22;23;22;24;22;23;"23";"21";"22";"22";"20";"22";"25";"23";"23";"21";"22";"23";"25";"22";"23";"eos"
237241;41;46;50;36;41;42;51;35;41;42;42;35;41;42;52;38;41;42;47;34;41;42;48;34;41;42;49;34;30;42;47;34;30;39;44;34;30;39;44;31;30;39;40;34;30;36;44;43;30;36;44;27;30;36;44;34;30;35;44;18;30;35;45;32;30;40;45;46;"30";"35";"44";"38";"30";"33";"47";"38";"30";"35";"42";"42";"30";"38";"41";"eos"
252016;9;14;14;12;12;16;14;14;12;15;16;10;12;15;9;12;12;13;12;14;12;16;13;10;12;15;13;15;11;12;14;14;11;13;13;13;11;13;12;14;10;15;12;12;10;13;13;12;10;13;13;12;9;13;15;13;10;14;13;11;11;13;14;12;13;15;10;12;"11";"13";"13";"14";"13";"14";"15";"12";"12";"13";"12";"12";"13";"14";"11";"eos"
264261;21;17;19;16;19;19;17;17;20;22;17;18;20;22;18;20;20;22;17;18;20;19;19;18;20;17;18;19;21;22;18;18;20;20;18;19;20;18;15;18;21;21;18;18;21;21;17;19;17;20;18;18;19;20;18;18;21;15;18;19;13;20;13;16;19;19;18;18;"18";"20";"19";"19";"18";"16";"18";"18";"18";"19";"eos";"eos";"eos";"eos";"eos";"eos"
341555;18;20;19;18;13;20;20;20;16;20;21;18;17;20;20;19;17;20;19;18;18;19;19;19;17;19;21;20;18;19;17;18;17;21;19;18;17;18;18;14;17;17;17;19;16;19;19;18;16;18;18;14;17;17;18;19;18;19;17;17;14;21;18;18;18;22;19;16;"18";"19";"16";"15";"15";"19";"18";"16";"19";"19";"16";"16";"17";"19";"eos";"eos"
349493;24;16;14;13;24;17;13;14;32;16;13;14;15;18;14;13;16;14;13;15;15;14;13;13;16;14;15;13;16;15;15;14;16;15;14;13;16;15;14;14;16;16;13;14;9;17;14;15;13;17;14;15;17;16;15;15;9;17;14;10;17;16;14;16;18;16;14;12;"14";"17";"16";"15";"13";"16";"14";"15";"14";"17";"14";"14";"14";"17";"14";"eos"
392951;15;15;12;13;15;16;12;13;15;15;12;13;15;14;12;13;15;16;11;14;15;14;12;13;15;16;11;15;15;18;11;14;15;16;13;12;15;13;12;19;13;13;14;13;13;15;12;13;13;13;11;13;13;15;11;9;13;10;11;13;13;19;11;16;13;16;12;13;"14";"14";"12";"15";"13";"15";"11";"14";"14";"14";"13";"12";"14";"13";"12";"13"
