timeSerieID;2000_1;2000_2;2000_3;2000_4;2001_1;2001_2;2001_3;2001_4;2002_1;2002_2;2002_3;2002_4;2003_1;2003_2;2003_3;2003_4;2004_1;2004_2;2004_3;2004_4;2005_1;2005_2;2005_3;2005_4;2006_1;2006_2;2006_3;2006_4;2007_1;2007_2;2007_3;2007_4;2008_1;2008_2;2008_3;2008_4;2009_1;2009_2;2009_3;2009_4;2010_1;2010_2;2010_3;2010_4;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4
2959445;12;11;14;11;12;10;12;12;12;13;13;12;12;12;11;14;13;12;12;14;14;14;13;12;14;10;13;14;14;14;11;14;14;14;15;15;14;14;13;15;14;16;15;15;16;12;12;14;16;17;16;17;16;20;15;15;16;17;15;15;16;16;16;15;16;19;16;17;16;19;18;16;16;16;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos
3900275;66;15;7;8;72;52;8;8;47;17;8;3;62;87;9;16;60;114;8;2;55;81;9;5;50;17;11;5;60;26;8;10;60;14;10;10;65;42;13;11;70;18;10;3;65;72;9;12;78;23;11;1;60;11;7;3;57;48;11;9;75;90;9;5;61;18;10;19;62;76;9;16;68;14;14;10;62;49;10;4;62;49;11;eos
3856654;37;11;9;10;37;9;10;10;37;14;12;12;72;10;10;12;107;10;9;10;64;10;12;10;107;13;11;11;19;11;9;9;20;11;8;11;18;11;10;8;14;12;11;11;19;9;10;9;4;12;12;11;14;12;13;13;13;10;10;9;15;10;9;10;17;11;10;15;14;9;9;13;17;9;10;11;19;11;11;13;26;18;eos;eos
2523020;12;12;11;14;12;13;11;12;20;9;11;11;4;9;11;12;16;12;11;14;40;13;13;14;12;13;12;15;12;12;9;16;26;12;11;14;12;14;11;14;12;11;12;13;12;11;13;16;12;11;12;12;9;11;10;14;12;12;11;15;12;10;10;14;6;12;10;14;13;14;8;13;12;11;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos
3570234;13;14;15;12;13;15;16;12;13;14;14;12;13;14;14;12;13;14;14;12;14;9;12;13;14;15;13;13;14;14;14;16;14;14;13;14;15;14;12;16;16;15;15;16;15;16;13;14;15;15;12;17;16;16;10;12;14;15;13;14;14;15;12;14;13;12;12;16;13;14;11;11;13;14;12;eos;eos;eos;eos;eos;eos;eos;eos;eos
2469702;18;23;21;16;20;20;18;18;15;20;20;19;17;19;21;25;17;20;20;18;17;16;20;18;19;21;22;19;17;24;21;18;20;24;20;20;17;20;21;19;18;19;21;18;17;21;21;19;15;19;22;21;16;21;25;21;16;19;22;18;15;20;24;17;16;20;20;18;14;17;22;19;14;18;19;16;14;eos;eos;eos;eos;eos;eos;eos
2628475;6;9;4;1;111;4;5;3;118;42;5;22;118;3;5;9;111;3;5;4;118;3;6;1;118;3;4;4;111;3;6;6;125;3;5;6;125;28;6;8;125;90;6;10;155;28;6;4;155;90;6;2;198;107;6;3;205;3;6;3;198;46;6;1;198;7;5;3;171;2;5;2;213;218;5;3;193;59;6;4;210;4;7;5
2526388;22;25;24;22;21;25;23;18;15;28;30;30;22;31;28;23;20;30;28;23;29;33;29;20;17;31;27;23;20;29;25;20;29;30;28;20;25;28;24;24;25;29;27;20;24;28;24;23;23;30;25;25;20;33;29;23;23;31;29;21;18;26;27;22;21;29;26;23;17;27;26;18;20;28;27;18;22;26;23;19;20;25;22;eos
2673477;8;11;6;13;8;13;11;16;71;10;9;12;6;14;7;10;71;14;10;11;76;13;10;12;41;14;9;11;76;14;10;11;76;9;7;12;14;12;9;10;14;10;11;10;14;14;13;12;14;13;10;12;13;13;11;13;14;15;9;15;13;16;10;14;12;14;13;14;13;15;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos
186540;21;24;24;21;20;23;24;19;20;22;22;19;21;22;22;20;19;21;22;18;18;19;21;16;18;19;20;17;18;20;21;18;20;19;18;22;18;20;20;19;17;21;18;18;18;20;20;18;19;18;19;18;17;20;21;19;18;20;20;18;19;22;20;20;19;19;20;19;19;21;19;17;18;21;20;19;18;19;21;20;19;20;20;eos
