timeSerieID;2000_1;2000_2;2000_3;2000_4;2001_1;2001_2;2001_3;2001_4;2002_1;2002_2;2002_3;2002_4;2003_1;2003_2;2003_3;2003_4;2004_1;2004_2;2004_3;2004_4;2005_1;2005_2;2005_3;2005_4;2006_1;2006_2;2006_3;2006_4;2007_1;2007_2;2007_3;2007_4;2008_1;2008_2;2008_3;2008_4;2009_1;2009_2;2009_3;2009_4;2010_1;2010_2;2010_3;2010_4;2011_1;2011_2;2011_3;2011_4;2012_1;2012_2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4;2019_1;2019_2;2019_3;2019_4;2020_1;2020_2;2020_3;2020_4
2959445;14;12;16;17;14;10;16;16;14;13;14;16;15;11;14;16;16;16;17;15;16;15;16;17;18;17;19;18;20;19;16;20;22;23;22;22;22;23;20;23;23;22;25;25;24;21;22;24;24;24;24;23;24;27;24;25;26;27;26;24;26;24;26;26;27;29;26;29;27;27;29;28;28;27;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos
3900275;16;28;18;4;1;18;18;9;1;31;21;4;1;28;19;4;1;7;21;3;1;26;21;4;1;34;21;4;1;22;19;17;1;26;22;17;1;4;24;17;1;33;23;2;1;6;20;19;1;26;19;6;1;25;18;4;2;25;24;11;2;2;20;7;3;34;22;7;3;22;20;6;3;28;25;18;3;16;22;7;3;22;24;eos
3856654;14;26;21;21;18;21;23;22;18;29;28;24;23;23;22;24;23;21;24;20;25;24;23;19;25;26;23;24;25;24;19;21;33;24;20;23;31;22;23;24;23;27;27;26;40;22;23;20;9;28;32;24;24;25;33;27;25;21;25;20;20;22;23;19;29;20;22;26;28;25;23;25;28;23;24;19;25;24;24;17;41;28;eos;eos
2523020;16;20;22;26;16;20;22;26;24;20;22;27;9;16;21;26;18;24;21;25;19;22;26;23;18;24;24;27;18;22;20;27;18;24;23;27;18;27;23;27;18;20;27;25;22;20;26;30;22;21;27;26;18;17;23;28;22;22;20;25;22;18;21;26;13;21;18;28;25;28;21;27;24;20;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos
3570234;22;23;23;21;22;24;24;18;22;22;22;24;22;23;23;22;22;22;23;21;22;13;23;22;21;27;19;22;21;22;24;20;22;22;21;21;22;19;21;22;23;22;23;23;23;23;17;23;23;23;24;23;23;23;20;23;23;25;22;23;23;24;20;23;23;23;19;25;23;24;21;23;23;23;21;eos;eos;eos;eos;eos;eos;eos;eos;eos
2469702;24;34;31;28;27;30;28;29;22;32;31;29;28;28;29;30;25;32;30;27;26;26;30;29;27;31;32;29;27;35;33;33;33;37;33;30;26;30;31;30;30;30;30;29;26;33;32;31;24;29;33;31;25;33;35;32;22;32;32;28;24;29;33;27;26;34;32;27;21;27;30;27;22;29;29;26;21;eos;eos;eos;eos;eos;eos;eos
2628475;5;6;8;4;5;6;8;6;5;1;7;13;5;2;7;8;5;4;7;10;4;2;4;3;4;5;5;5;2;5;10;8;2;3;8;9;2;3;8;8;2;2;8;12;2;1;7;6;3;2;8;5;4;4;6;4;1;1;8;2;19;3;5;2;5;6;5;3;19;2;5;2;23;4;5;2;19;2;6;3;19;2;6;2
2526388;34;39;32;36;34;39;37;26;19;41;45;42;32;45;41;29;35;57;43;33;46;51;44;29;26;50;43;31;32;47;40;31;47;49;45;31;44;49;43;34;40;48;42;31;41;54;40;37;40;51;45;42;35;57;50;35;40;53;46;33;30;47;43;34;36;49;44;40;25;49;45;28;30;49;43;32;41;46;40;29;37;45;42;eos
2673477;20;22;15;26;20;23;21;28;20;22;21;24;14;24;14;22;19;23;17;22;19;25;21;20;16;29;21;23;19;27;19;22;19;22;19;25;19;26;19;22;20;22;18;24;26;28;29;27;26;25;22;27;23;24;26;24;26;31;20;29;23;30;25;27;20;27;26;27;24;30;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos;eos
186540;38;46;44;37;33;42;42;36;35;42;42;38;36;38;41;39;32;34;37;33;30;36;38;32;31;38;38;32;31;35;38;36;38;36;36;39;32;38;39;35;33;41;40;38;34;40;37;36;35;39;40;36;32;38;40;38;33;39;41;35;33;40;39;36;35;36;37;35;32;39;40;36;31;39;38;36;34;36;39;36;34;37;38;eos
