glcID;gbifID;observer;datasetName;date;dayOfYear;year;year_ecodatacube_quarter;lon;lat;x_EPSG3035;y_EPSG3035;geoUncertaintyInM;speciesId;patchID;timeSerieID
2522017;1882956579.0;Bjørn Petter Løfall;NOR Species Observation;2018-06-17;168;2018;2.0;10.95154;59.2511;4375406.0;4017067.0;10.0;9343;5982155;2959445
915820;3704105319.0;Szokala,Daniel;Masaryk Univ Herbarium;2020-08-23;236;2020;3.0;22.67836;43.39697;5345300.0;2341095.0;10.0;2165;6920543;3900275
2204483;2634619893.0;Mykyta Peregrym;iNaturalist RG;2020-06-01;153;2020;2.0;20.05778;47.91972;5070487.0;2807349.0;5.0;7722;6876987;3856654
1892353;2894783176.0;Vejle Kommune;DEN Environmental Portal;2018-05-16;136;2018;2.0;9.337563;55.7587;4279387.0;3628455.0;3.0;6461;5547194;2523020
3377718;1884869811.0;Bernt-Gunnar Østerkløft;NOR Species Observation;2018-07-18;199;2018;3.0;14.61418;67.38264;4520783.0;4924950.0;50.0;7287;6592021;3570234
670974;3953577379.0;;Pl@ntNet automatic;2019-03-09;68;2019;1.0;9.107587;39.2459;4243503.0;1795664.0;6.5;4866;5494000;2469702
4577502;3952568386.0;;Pl@ntNet automatic;2021-07-22;203;2021;3.0;9.743298;46.42616;4301247.0;2590359.0;8.3;5767;5652465;2628475
976863;3957858900.0;;Pl@ntNet automatic;2020-07-22;204;2020;3.0;9.351919;40.20186;4265541.0;1901003.0;32.0;3384;5550555;2526388
2793311;2889586508.0;Favrskov Kommune;DEN Environmental Portal;2017-05-15;135;2017;2.0;9.903836;56.29103;4315041.0;3687497.0;3.0;6705;5697368;2673477
3226529;2976323381.0;;Pl@ntNet automatic;2020-08-29;242;2020;3.0;-3.903659;37.47923;3089251.0;1712579.0;6.43;7583;3204277;186540
1959371;3468289999.0;Cousins, M. Mags;iRecord verified;2019-07-29;210;2019;3.0;-0.952657;51.65497;3566312.0;3228413.0;70.7;7904;3571309;553600
3990731;3462639921.0;Miljøstyrelsen;DEN Environmental Portal;2021-07-14;195;2021;3.0;9.878991;57.50542;4313737.0;3822594.0;3.0;6249;5690462;2666560
4134811;3954436036.0;;Pl@ntNet automatic;2020-04-26;117;2020;2.0;2.475398;46.56083;3744575.0;2634516.0;9.85;4013;4011303;993003
1044876;2889927591.0;Hjørring Kommune;DEN Environmental Portal;2017-05-19;139;2017;2.0;10.05142;57.39769;4324095.0;3810606.0;3.0;5000;5737392;2713560
2240475;3716108624.0;;Observation.org;2019-11-10;314;2019;4.0;32.3455;35.05602;6349258.0;1630392.0;10.0;7826;6998771;3978565
4623319;3954282423.0;;Pl@ntNet automatic;2021-05-06;126;2021;2.0;4.372795;44.07732;3869722.0;2346664.0;5.0;24;4344727;1323068
4569255;2644769660.0;;Pl@ntNet automatic;2019-05-09;129;2019;2.0;-7.850362;42.33404;2860513.0;2310852.0;48.0;9509;3078801;60987
1525570;3949419898.0;;Pl@ntNet observations;2021-08-19;231;2021;3.0;7.026683;49.24919;4104541.0;2908392.0;7.5;3943;5034244;2009916
4496495;3953105129.0;;Pl@ntNet automatic;2020-07-14;196;2020;3.0;-3.40923;47.70243;3320284.0;2823191.0;10.5;9558;3254993;237241
3869722;3301960664.0;Mika Tomta;iNaturalist RG;2021-06-08;159;2021;2.0;11.02622;59.16659;4379818.0;4007732.0;2.0;9607;6005891;2983206
1352498;2978155331.0;;Pl@ntNet automatic;2020-09-04;248;2020;3.0;7.600349;47.51018;4140150.0;2713661.0;72.68;9675;5163843;2138905
2735756;3314193268.0;amalita;iNaturalist RG;2021-06-22;173;2021;2.0;6.81515;44.9859;4069472.0;2435833.0;32.0;2752;4975392;1951464
3946960;2646229878.0;;Pl@ntNet automatic;2019-07-27;208;2019;3.0;10.52852;46.75518;4361418.0;2627006.0;64.0;8367;5856252;2833035
4250547;2644928263.0;;Pl@ntNet automatic;2019-04-30;120;2019;2.0;8.073063;49.55069;4181557.0;2939371.0;24.0;1131;5249591;2224883
3066899;3954642377.0;;Pl@ntNet automatic;2019-05-01;121;2019;2.0;2.808295;45.67778;3760890.0;2534308.0;24.0;3892;4064325;1045961
785152;3957642427.0;;Pl@ntNet automatic;2021-10-17;290;2021;4.0;-1.826137;47.82141;3439239.0;2816063.0;12.0;5868;3441895;424284
1964479;3954509014.0;;Pl@ntNet automatic;2021-05-26;146;2021;2.0;10.12843;48.67236;4330462.0;2839897.0;12.0;1894;5757694;2733924
3693109;1901009102.0;Kåre Arnstein Lye;NOR Species Observation;2018-08-21;233;2018;3.0;11.0857;59.5401;4382560.0;4049297.0;20.0;8487;6023406;3000746
